family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00041,LAR_DROME/323-410,CNTN2_CHICK/809-902,88,94,0.23,2,82,0.5663,0.5732,0.5697,15.45,0.8295,0.8902,0.8588,365.62
PF00041,FINC_BOVIN/813-896,TENA_CHICK/1318-1401,84,84,0.2588,2,83,0.875,0.8434,0.8589,13.98,0.881,0.8916,0.8862,458.06
PF00043,GSTM1_CAVPO/103-191,GSTP1_BOVIN/97-188,89,92,0.2366,2,88,0.7952,0.75,0.7719,16.0,0.8736,0.8636,0.8686,490.25
PF00104,A8XUX2_CAEBR/195-407,G0M9J8_CAEBE/302-515,213,214,0.2465,2,212,0.9905,0.9858,0.9882,87.47,0.9479,0.9434,0.9456,430.05
PF00089,TRYI_DROME/28-245,B1VV86_STRGG/37-252,218,216,0.2987,2,203,0.7761,0.7685,0.7723,88.16,0.7681,0.7833,0.7756,351.32
PF00027,GLSA2_BRADU/509-592,Q7MSB7_WOLSU/34-116,84,83,0.2273,2,79,0.9259,0.9494,0.9375,13.14,0.9277,0.9747,0.9506,375.98
PF00085,I3M694_ICTTR/22-125,THIO2_NOSS1/4-106,104,103,0.2596,2,103,1.0,0.7476,0.8556,20.43,1.0,1.0,1.0,355.57
PF00595,DEGPL_BARHE/289-378,DEGS_HAEIN/242-322,90,81,0.2967,2,80,0.7595,0.75,0.7547,13.74,0.8125,0.8125,0.8125,349.81
PF00041,UFO_HUMAN/335-424,CNTN2_CHICK/809-902,90,94,0.2245,2,86,0.7206,0.5698,0.6364,15.72,0.7778,0.814,0.7955,351.52
PF00072,DEGU_BACSU/6-118,BARA_ECOLI/670-782,113,113,0.2174,2,111,0.9434,0.9009,0.9217,23.82,0.955,0.955,0.955,418.45
PF00072,PGTA_SALTY/8-118,SKN7_YEAST/379-489,111,111,0.2252,2,111,1.0,0.9009,0.9479,23.46,1.0,1.0,1.0,468.57
PF00085,PDIA4_RAT/176-279,THIO1_SYNE7/3-105,104,103,0.2736,2,101,0.8824,0.7426,0.8065,20.4,0.9176,0.7723,0.8387,377.89
PF00010,MXI1_HUMAN/68-120,HLH4_CAEEL/5-57,53,53,0.2642,2,52,1.0,0.3462,0.5143,5.26,0.92,0.8846,0.902,349.78
PF00072,ALGB_PSEAE/11-121,BVGS_BORBR/975-1092,111,118,0.2966,2,111,0.9252,0.8919,0.9083,24.55,0.8829,0.8829,0.8829,357.24
PF00085,K7WNV9_SOLTU/7-110,PDIA1_CHICK/30-136,104,107,0.2432,2,100,0.9836,0.6,0.7453,21.32,0.7766,0.73,0.7526,458.89
PF07686,Q8K094_MOUSE/33-142,CD2_HUMAN/28-127,110,100,0.2232,2,98,0.5676,0.2143,0.3111,22.4,0.7703,0.5816,0.6628,497.42
